Post code,ID Type,Email,Location,Number of Devices,Age,Crypto Use,ATM use,Declared Use,Declared Turnover,Actual Use,Actual Turnover,Months Active,Fraud Confirmed,AgeRange,TurnoverDiffStatus,TurnoverDiff,AccUseDiff,EmailDomain
W2,ID Card,irma13@mac.com,Other,3,25,YES,NO,Receiving and Withdrawing,60,ATM,50,6,NO,<30,Low,10,Yes,mac.com
W3,Residence permit ,block.harrison@comcast.net,High Risk Coutry,3,34,YES,NO,Receiving and Withdrawing,50,ATM,20,7,NO,30-40,Low,30,Yes,comcast.net
W4,Residence permit ,rosario49@msn.com,High Risk Coutry,3,56,NO,NO,Receiving and Withdrawing,40,ATM,20,6,NO,50-60,Low,20,Yes,msn.com
W5,Driving licence Full,chloe.dare@yahoo.ca,UK ,3,35,NO,YES,Receiving and Withdrawing,50,ATM,20,6,NO,30-40,Low,30,Yes,yahoo.ca
W6,Driving licence Full,wdaniel@me.com,Europe ,3,33,NO,YES,Receiving and Withdrawing,20,Friends and Family,30,12,YES,30-40,High,10,Yes,me.com
W7,Driving licence Full,utorphy@icloud.com,Other,3,23,NO,YES,Day to date,20,Receiving and Withdrawing,40,6,NO,<30,High,20,Yes,icloud.com
W8,Driving licence Provisional,joy10@mac.com,High Risk Coutry,3,22,NO,YES,Day to date,20,ATM,20,7,NO,<30,Same,0,Yes,mac.com
W9,Driving licence Provisional,qmorar@live.com,UK ,3,18,NO,YES,Day to date,30,ATM,70,4,NO,<30,High,40,Yes,live.com
W10,Driving licence Provisional,edgar21@gmail.it,Europe ,3,18,NO,YES,Day to date,60,ATM,100,5,YES,<30,High,40,Yes,gmail.it
W11,Driving licence Provisional,kunze.alexandra@sbcglobal.net,Other,3,22,YES,YES,Day to date,60,Friends and Family,20,2,YES,<30,Low,40,Yes,sbcglobal.net
W12,Driving licence Provisional,alexandria56@yahoo.com,High Risk Coutry,3,22,YES,NO,Day to date,50,Receiving and Withdrawing,20,2,NO,<30,Low,30,Yes,yahoo.com
W13,Passport ,ashley.boyle@icloud.com,High Risk Coutry,3,21,YES,NO,ATM,40,ATM,20,3,NO,<30,Low,20,No,icloud.com
W14,Passport ,huels.fidel@comcast.net,UK ,3,22,YES,NO,ATM,50,ATM,20,2,YES,<30,Low,30,No,comcast.net
W15,Passport ,kirlin.christop@hotmail.com,Europe ,3,21,YES,NO,ATM,20,ATM,30,3,NO,<30,High,10,No,hotmail.com
W16,ID Card,wfeeney@live.com,Other,3,21,YES,NO,ATM,20,Day to date,40,3,NO,<30,High,20,Yes,live.com
W17,ID Card,nigel68@verizon.net,High Risk Coutry,3,53,YES,NO,ATM,20,Day to date,20,12,NO,50-60,Same,0,Yes,verizon.net
W18,ID Card,ghegmann@live.com,High Risk Coutry,3,43,NO,NO,ATM,30,Day to date,70,3,YES,40-50,High,40,Yes,live.com
W19,Residence permit ,wjohnson@verizon.net,UK ,3,28,NO,YES,Friends and Family,40,ATM,100,3,NO,<30,High,60,Yes,verizon.net
W20,Residence permit ,agnes61@outlook.com,UK ,3,22,NO,YES,Receiving and Withdrawing,20,ATM,60,3,NO,<30,High,40,Yes,outlook.com
W21,Driving licence Full,daugherty.helena@mac.com,Other,3,22,NO,YES,Receiving and Withdrawing,70,ATM,60,2,NO,<30,Low,10,Yes,mac.com
W22,Driving licence Full,ciara71@msn.com,High Risk Coutry,3,25,NO,YES,Receiving and Withdrawing,100,ATM,50,2,NO,<30,Low,50,Yes,msn.com
W23,Driving licence Full,john05@yahoo.ca,UK ,3,34,NO,NO,Receiving and Withdrawing,20,Friends and Family,40,2,YES,30-40,High,20,Yes,yahoo.ca
W24,Driving licence Provisional,vschowalter@me.com,Europe ,1,56,NO,NO,Receiving and Withdrawing,20,Receiving and Withdrawing,50,2,NO,50-60,High,30,No,me.com
W25,Driving licence Provisional,georgianna75@icloud.com,Other,1,35,YES,NO,Day to date,20,ATM,40,6,NO,30-40,High,20,Yes,icloud.com
W26,Passport ,bmorissette@mac.com,High Risk Coutry,3,33,YES,NO,Day to date,20,ATM,20,10,NO,30-40,Same,0,Yes,mac.com
W27,Passport ,destinee.schinner@live.com,High Risk Coutry,2,18,YES,NO,Day to date,30,ATM,70,6,NO,<30,High,40,Yes,live.com
W28,Passport ,karolann56@gmail.it,UK ,3,22,YES,NO,Day to date,40,Friends and Family,20,6,YES,<30,Low,20,Yes,gmail.it
W29,Passport ,rollin.farrell@sbcglobal.net,Europe ,2,18,NO,YES,Day to date,20,Receiving and Withdrawing,20,7,NO,<30,Same,0,Yes,sbcglobal.net
W30,Passport ,lmorissette@yahoo.com,Other,1,18,NO,YES,Day to date,70,ATM,20,6,YES,<30,Low,50,Yes,yahoo.com
W31,ID Card,maximus37@icloud.com,High Risk Coutry,3,22,NO,YES,ATM,100,ATM,20,6,NO,<30,Low,80,No,icloud.com
W32,ID Card,jorge.corkery@comcast.net,High Risk Coutry,1,22,NO,NO,ATM,60,ATM,30,12,YES,<30,Low,30,No,comcast.net
W33,ID Card,keshawn79@hotmail.com,UK ,2,21,NO,NO,Day to date,60,Day to date,40,6,NO,<30,Low,20,No,hotmail.com
W34,Residence permit ,afton.wilderman@live.com,UK ,5,22,NO,NO,Day to date,50,Day to date,20,7,YES,<30,Low,30,No,live.com
W35,Residence permit ,hettinger.alexanne@gmail.com,Other,5,21,YES,NO,Day to date,40,Day to date,70,4,YES,<30,High,30,No,gmail.com
W36,Driving licence Full,manuel.fay@verizon.net,High Risk Coutry,6,21,YES,NO,Day to date,50,ATM,100,5,YES,<30,High,50,Yes,verizon.net
W1,Driving licence Full,ozieme@mac.com,UK ,2,53,YES,NO,ATM,40,ATM,20,2,NO,50-60,Low,20,No,mac.com
W2,Driving licence Full,lrussel@comcast.net,Europe ,3,43,NO,YES,ATM,20,ATM,20,2,NO,40-50,Same,0,No,comcast.net
W3,Driving licence Provisional,clind@msn.com,Other,6,28,NO,YES,ATM,70,ATM,20,3,NO,<30,Low,50,No,msn.com
W4,Driving licence Provisional,frida26@yahoo.ca,High Risk Coutry,6,22,NO,YES,ATM,100,Friends and Family,20,2,YES,<30,Low,80,Yes,yahoo.ca
W5,Driving licence Provisional,brekke.irving@me.com,High Risk Coutry,3,22,NO,NO,Friends and Family,20,Receiving and Withdrawing,30,3,NO,<30,High,10,Yes,me.com
W6,Driving licence Provisional,pacocha.nasir@icloud.com,UK ,3,25,NO,NO,Receiving and Withdrawing,20,ATM,40,3,YES,<30,High,20,Yes,icloud.com
W7,Driving licence Provisional,ddurgan@mac.com,Europe ,3,34,NO,NO,Receiving and Withdrawing,20,ATM,20,10,NO,30-40,Same,0,Yes,mac.com
W8,Passport ,davis.pink@live.com,Other,1,56,YES,NO,Receiving and Withdrawing,20,ATM,70,10,YES,50-60,High,50,Yes,live.com
W9,Passport ,maribel.fisher@gmail.it,High Risk Coutry,1,35,YES,NO,Receiving and Withdrawing,30,Friends and Family,100,10,YES,30-40,High,70,Yes,gmail.it
W10,Passport ,pouros.lavonne@sbcglobal.net,High Risk Coutry,3,33,YES,NO,Receiving and Withdrawing,40,Receiving and Withdrawing,20,9,YES,30-40,Low,20,No,sbcglobal.net
W11,ID Card,zjohnston@yahoo.com,UK ,2,21,NO,YES,Day to date,20,ATM,20,9,NO,<30,Same,0,Yes,yahoo.com
W12,ID Card,manuela37@icloud.com,UK ,3,21,NO,YES,Day to date,70,ATM,20,9,NO,<30,Low,50,Yes,icloud.com
W13,ID Card,langosh.aidan@comcast.net,Other,2,18,NO,YES,Day to date,100,ATM,20,9,NO,<30,Low,80,Yes,comcast.net
W14,Residence permit ,hoeger.jairo@hotmail.com,High Risk Coutry,1,18,NO,NO,Day to date,60,Day to date,30,9,YES,<30,Low,30,No,hotmail.com
W15,Residence permit ,heber.grady@live.com,UK ,3,19,NO,NO,Day to date,60,Day to date,40,7,NO,<30,Low,20,No,live.com
W16,Driving licence Full,jkilback@verizon.net,Europe ,1,18,NO,NO,Day to date,50,Day to date,20,7,NO,<30,Low,30,No,verizon.net
W17,Driving licence Full,eloy08@live.com,Other,2,35,YES,NO,Day to date,40,ATM,70,3,NO,30-40,High,30,Yes,live.com
W18,Driving licence Full,lowe.hailie@verizon.net,High Risk Coutry,5,33,YES,NO,ATM,50,ATM,100,3,YES,30-40,High,50,No,verizon.net
W19,Driving licence Provisional,block.hortense@outlook.com,High Risk Coutry,5,21,YES,NO,ATM,40,ATM,60,3,YES,<30,High,20,No,outlook.com
W20,Driving licence Provisional,itzel.west@mac.com,UK ,6,21,NO,YES,ATM,20,ATM,60,2,YES,<30,High,40,No,mac.com
W21,Passport ,rempel.kyra@msn.com,Europe ,2,18,NO,YES,ATM,70,Friends and Family,50,7,YES,<30,Low,20,Yes,msn.com
W22,Passport ,amayert@yahoo.ca,Other,3,18,NO,YES,Friends and Family,100,Receiving and Withdrawing,40,1,YES,<30,Low,60,Yes,yahoo.ca
W23,Passport ,bradtke.ceasar@me.com,High Risk Coutry,6,19,NO,NO,Receiving and Withdrawing,20,ATM,50,2,YES,<30,High,30,Yes,me.com
W24,Passport ,eziemann@icloud.com,High Risk Coutry,6,18,NO,NO,Receiving and Withdrawing,20,ATM,20,1,YES,<30,Same,0,Yes,icloud.com
W25,Passport ,ilene23@mac.com,UK ,3,35,NO,NO,Receiving and Withdrawing,20,ATM,20,1,NO,30-40,Same,0,Yes,mac.com
W26,ID Card,june03@live.com,UK ,3,33,YES,NO,Receiving and Withdrawing,20,Friends and Family,20,1,NO,30-40,Same,0,Yes,live.com
W27,ID Card,kuhn.raymond@gmail.it,Other,3,21,YES,NO,Receiving and Withdrawing,30,Receiving and Withdrawing,30,1,YES,<30,Same,0,No,gmail.it
W28,ID Card,qmurray@sbcglobal.net,High Risk Coutry,1,21,YES,NO,Day to date,40,ATM,60,1,NO,<30,High,20,Yes,sbcglobal.net
W29,Residence permit ,alden.beier@yahoo.com,UK ,1,18,NO,YES,Day to date,20,Day to date,60,2,YES,<30,High,40,No,yahoo.com
W30,Residence permit ,aohara@icloud.com,Europe ,3,18,NO,YES,Day to date,70,Day to date,50,7,NO,<30,Low,20,No,icloud.com
W31,Driving licence Full,ethan57@comcast.net,Other,2,19,NO,YES,Day to date,100,Day to date,40,3,YES,<30,Low,60,No,comcast.net
W32,Driving licence Full,berge.jaeden@hotmail.com,High Risk Coutry,3,18,NO,YES,Day to date,60,ATM,50,3,NO,<30,Low,10,Yes,hotmail.com
W33,Driving licence Full,purdy.magali@live.com,High Risk Coutry,2,21,NO,YES,Day to date,60,ATM,20,3,NO,<30,Low,40,Yes,live.com
W34,Driving licence Provisional,jennie.shanahan@gmail.com,UK ,1,21,NO,YES,Day to date,50,ATM,20,2,YES,<30,Low,30,Yes,gmail.com
W35,Driving licence Provisional,johns.judd@verizon.net,Europe ,3,22,YES,YES,ATM,40,ATM,20,7,NO,<30,Low,20,No,verizon.net
W36,Driving licence Provisional,glover.brionna@mac.com,Other,1,21,YES,YES,ATM,50,Friends and Family,30,1,YES,<30,Low,20,Yes,mac.com
W1,Driving licence Provisional,ezequiel.renner@comcast.net,High Risk Coutry,2,27,YES,YES,ATM,40,Receiving and Withdrawing,60,2,YES,<30,High,20,Yes,comcast.net
W2,Driving licence Provisional,imitchell@msn.com,High Risk Coutry,5,25,NO,YES,ATM,20,ATM,60,1,YES,<30,High,40,No,msn.com
W3,Passport ,mcglynn.greyson@yahoo.ca,UK ,5,27,NO,YES,Friends and Family,70,ATM,50,1,NO,<30,Low,20,Yes,yahoo.ca
W4,Passport ,glabadie@me.com,UK ,6,26,NO,YES,Receiving and Withdrawing,100,ATM,40,1,NO,<30,Low,60,Yes,me.com
W5,Passport ,doyle.nayeli@icloud.com,UK ,2,23,NO,NO,Receiving and Withdrawing,20,Friends and Family,50,1,NO,<30,High,30,Yes,icloud.com
W6,ID Card,breana.bode@mac.com,Europe ,3,35,NO,NO,Receiving and Withdrawing,20,Receiving and Withdrawing,20,1,YES,30-40,Same,0,No,mac.com
W7,ID Card,deborah.roberts@live.com,Other,6,25,NO,NO,Receiving and Withdrawing,20,ATM,20,2,YES,<30,Same,0,Yes,live.com
W8,ID Card,koby.wisozk@gmail.it,High Risk Coutry,6,37,YES,NO,Receiving and Withdrawing,20,ATM,20,7,NO,30-40,Same,0,Yes,gmail.it
W9,Residence permit ,claire59@sbcglobal.net,High Risk Coutry,3,18,YES,NO,Day to date,30,ATM,30,3,NO,<30,Same,0,Yes,sbcglobal.net
W10,Residence permit ,cleora.paucek@yahoo.com,UK ,3,21,YES,NO,Day to date,40,Day to date,40,3,NO,<30,Same,0,No,yahoo.com
W11,Driving licence Full,harvey.lilliana@icloud.com,Europe ,3,21,NO,NO,Day to date,20,Day to date,20,3,NO,<30,Same,0,No,icloud.com
W12,Driving licence Full,ashly.hayes@comcast.net,Other,1,22,NO,YES,Day to date,70,Day to date,70,2,YES,<30,Same,0,No,comcast.net
W13,Driving licence Full,jerrod65@hotmail.com,High Risk Coutry,1,21,NO,YES,Day to date,100,ATM,100,7,NO,<30,Same,0,Yes,hotmail.com
W14,Driving licence Provisional,raheem.collier@live.com,High Risk Coutry,3,27,NO,YES,Day to date,60,ATM,20,1,NO,<30,Low,40,Yes,live.com
W15,Driving licence Provisional,kbeer@verizon.net,UK ,2,25,NO,YES,Day to date,60,ATM,20,2,NO,<30,Low,40,Yes,verizon.net
W16,Passport ,dale21@live.com,UK ,3,27,NO,YES,ATM,50,ATM,20,1,NO,<30,Low,30,No,live.com
W17,Passport ,vinnie.bashirian@verizon.net,Other,2,26,NO,YES,ATM,40,Friends and Family,20,1,NO,<30,Low,20,Yes,verizon.net
W18,Passport ,talon.douglas@outlook.com,High Risk Coutry,1,23,NO,YES,ATM,50,Receiving and Withdrawing,30,1,NO,<30,Low,20,Yes,outlook.com
W19,Passport ,turcotte.stefanie@mac.com,UK ,3,35,NO,YES,ATM,30,ATM,40,1,NO,30-40,High,10,No,mac.com
W20,Passport ,issac.graham@msn.com,Europe ,1,25,NO,YES,Friends and Family,30,ATM,20,1,NO,<30,Low,10,Yes,msn.com
W21,ID Card,apurdy@yahoo.ca,Other,2,37,YES,NO,Receiving and Withdrawing,50,ATM,70,2,NO,30-40,High,20,Yes,yahoo.ca
W22,ID Card,jamaal91@me.com,High Risk Coutry,5,18,YES,NO,Receiving and Withdrawing,40,Friends and Family,100,7,NO,<30,High,60,Yes,me.com
W23,ID Card,gleichner.tiffany@icloud.com,High Risk Coutry,5,21,YES,NO,Receiving and Withdrawing,50,Receiving and Withdrawing,60,3,NO,<30,High,10,No,icloud.com
W24,Residence permit ,anais01@mac.com,UK ,6,21,YES,NO,Receiving and Withdrawing,30,ATM,60,3,NO,<30,High,30,Yes,mac.com
W25,Residence permit ,astehr@live.com,Europe ,2,22,NO,NO,Receiving and Withdrawing,30,ATM,50,3,NO,<30,High,20,Yes,live.com
W26,Driving licence Full,cassandre14@gmail.it,Other,3,21,NO,NO,Day to date,50,ATM,40,2,YES,<30,Low,10,Yes,gmail.it
W27,Driving licence Full,zachary.ledner@sbcglobal.net,High Risk Coutry,6,27,NO,NO,Day to date,40,Day to date,50,7,NO,<30,High,10,No,sbcglobal.net
W28,Driving licence Full,hazel.dibbert@yahoo.com,High Risk Coutry,6,25,NO,YES,Day to date,50,Day to date,40,1,NO,<30,Low,10,No,yahoo.com
W29,Driving licence Provisional,sheila.sipes@icloud.com,UK ,2,27,NO,YES,Day to date,30,Day to date,20,2,NO,<30,Low,10,No,icloud.com
W30,Driving licence Provisional,paolo.mclaughlin@comcast.net,UK ,2,26,NO,YES,Day to date,30,ATM,70,1,NO,<30,High,40,Yes,comcast.net
W31,Driving licence Provisional,deckow.mekhi@hotmail.com,Other,2,23,YES,YES,Day to date,20,ATM,20,1,NO,<30,Same,0,Yes,hotmail.com
W32,Driving licence Provisional,anabelle31@live.com,High Risk Coutry,2,35,YES,YES,Day to date,100,ATM,20,1,NO,30-40,Low,80,Yes,live.com
W33,Driving licence Provisional,jessie90@gmail.it,UK ,2,25,NO,YES,ATM,20,ATM,20,1,NO,<30,Same,0,No,gmail.it
W34,Passport ,anika.doyle@sbcglobal.net,Europe ,2,37,NO,YES,ATM,20,Friends and Family,20,1,YES,30-40,Same,0,Yes,sbcglobal.net
W35,Passport ,cayla.stokes@yahoo.com,UK ,4,18,NO,NO,ATM,20,Receiving and Withdrawing,30,2,YES,<30,High,10,Yes,yahoo.com
W36,Passport ,xmcglynn@icloud.com,Europe ,4,21,NO,NO,ATM,20,ATM,40,7,YES,<30,High,20,No,icloud.com
W1,ID Card,fay31@comcast.net,Other,4,21,YES,NO,Friends and Family,30,ATM,20,3,YES,<30,Low,10,Yes,comcast.net
W2,ID Card,brakus.trycia@hotmail.com,High Risk Coutry,4,22,YES,NO,Receiving and Withdrawing,40,ATM,70,3,NO,<30,High,30,Yes,hotmail.com
W3,ID Card,abe44@live.com,High Risk Coutry,4,21,YES,NO,Receiving and Withdrawing,20,Friends and Family,100,3,NO,<30,High,80,Yes,live.com
W4,Residence permit ,dboyer@verizon.net,UK ,1,27,YES,NO,Receiving and Withdrawing,70,Receiving and Withdrawing,60,2,YES,<30,Low,10,No,verizon.net
W5,Residence permit ,theodore.swaniawski@live.com,Europe ,1,25,NO,NO,Receiving and Withdrawing,100,ATM,60,7,NO,<30,Low,40,Yes,live.com
W6,Driving licence Full,jjenkins@verizon.net,Other,1,27,NO,YES,Receiving and Withdrawing,60,ATM,50,1,NO,<30,Low,10,Yes,verizon.net
W7,Driving licence Full,reid.beier@outlook.com,High Risk Coutry,4,26,NO,YES,Day to date,60,ATM,40,2,YES,<30,Low,20,Yes,outlook.com
W8,Driving licence Full,cmccullough@mac.com,High Risk Coutry,1,23,NO,YES,Day to date,50,Day to date,50,1,NO,<30,Same,0,No,mac.com
W9,Driving licence Provisional,klein.kaya@msn.com,UK ,1,35,NO,YES,Day to date,40,Day to date,40,1,NO,30-40,Same,0,No,msn.com
W10,Driving licence Provisional,klein.edison@yahoo.ca,UK ,1,25,NO,NO,Friends and Family,50,Day to date,20,1,YES,<30,Low,30,Yes,yahoo.ca
W11,Passport ,osinski.johan@me.com,Other,1,37,YES,NO,Friends and Family,20,ATM,70,1,NO,30-40,High,50,Yes,me.com
W12,Passport ,osinski.jermey@icloud.com,High Risk Coutry,2,18,YES,NO,Friends and Family,20,ATM,20,1,NO,<30,Same,0,Yes,icloud.com
W13,Passport ,stanton10@mac.com,UK ,2,57,NO,NO,ATM,20,ATM,20,2,YES,50-60,Same,0,No,mac.com
W14,Passport ,jkunze@live.com,Europe ,2,65,NO,NO,ATM,30,ATM,20,7,NO,60-70,Low,10,No,live.com
W15,Passport ,kade68@gmail.it,Other,2,62,NO,NO,Friends and Family,60,Friends and Family,20,3,YES,60-70,Low,40,No,gmail.it
W16,ID Card,emclaughlin@sbcglobal.net,High Risk Coutry,4,61,NO,YES,Receiving and Withdrawing,60,Receiving and Withdrawing,30,3,NO,60-70,Low,30,No,sbcglobal.net
W17,ID Card,swaniawski.ocie@yahoo.com,High Risk Coutry,4,27,YES,YES,Receiving and Withdrawing,50,ATM,40,3,NO,<30,Low,10,Yes,yahoo.com
W18,ID Card,aaliyah81@icloud.com,UK ,4,25,YES,YES,Receiving and Withdrawing,100,ATM,20,2,NO,<30,Low,80,Yes,icloud.com
W19,Residence permit ,smohr@comcast.net,Europe ,4,27,YES,NO,Receiving and Withdrawing,20,ATM,70,7,NO,<30,High,50,Yes,comcast.net
W20,Residence permit ,rosa81@hotmail.com,Other,4,26,YES,NO,Receiving and Withdrawing,20,Friends and Family,100,1,NO,<30,High,80,Yes,hotmail.com
W21,Driving licence Full,adelia.bayer@live.com,High Risk Coutry,1,23,NO,NO,Day to date,20,Receiving and Withdrawing,60,2,NO,<30,High,40,Yes,live.com
W22,Driving licence Full,roderick.kozey@verizon.net,High Risk Coutry,1,35,NO,NO,Day to date,20,ATM,60,1,NO,30-40,High,40,Yes,verizon.net
W23,Driving licence Full,vicky27@live.com,UK ,1,25,NO,NO,ATM,30,ATM,50,1,NO,<30,High,20,No,live.com
W24,Driving licence Provisional,katherine73@verizon.net,UK ,4,37,NO,NO,ATM,40,ATM,40,1,NO,30-40,Same,0,No,verizon.net
W25,Driving licence Provisional,donnelly.stevie@outlook.com,Other,1,18,NO,YES,Friends and Family,20,Day to date,50,1,NO,<30,High,30,Yes,outlook.com
W26,Driving licence Provisional,hstrosin@mac.com,High Risk Coutry,1,57,NO,YES,Receiving and Withdrawing,70,Day to date,40,1,NO,50-60,Low,30,Yes,mac.com
W27,Driving licence Provisional,weber.helmer@msn.com,UK ,1,65,YES,YES,Receiving and Withdrawing,100,Day to date,20,2,NO,60-70,Low,80,Yes,msn.com
W28,Driving licence Provisional,carley72@yahoo.ca,Europe ,1,62,YES,NO,Receiving and Withdrawing,60,ATM,70,7,YES,60-70,High,10,Yes,yahoo.ca
W29,Passport ,wturcotte@me.com,UK ,2,61,NO,NO,Receiving and Withdrawing,60,ATM,20,3,NO,60-70,Low,40,Yes,me.com
W30,Passport ,torphy.cedrick@icloud.com,UK ,2,21,NO,NO,Receiving and Withdrawing,50,ATM,20,3,NO,<30,Low,30,Yes,icloud.com
W31,Passport ,thalia.spinka@mac.com,Other,2,18,NO,NO,Day to date,40,ATM,20,3,NO,<30,Low,20,Yes,mac.com
W32,ID Card,pmorissette@live.com,High Risk Coutry,2,19,NO,NO,Day to date,50,Friends and Family,20,2,NO,<30,Low,30,Yes,live.com
W33,ID Card,dblick@gmail.it,UK ,4,18,YES,NO,ATM,20,Receiving and Withdrawing,30,7,NO,<30,High,10,Yes,gmail.it
W34,ID Card,russel.ezekiel@sbcglobal.net,UK ,4,19,YES,YES,ATM,20,ATM,40,1,NO,<30,High,20,No,sbcglobal.net
W35,Residence permit ,don.ziemann@yahoo.com,UK ,4,19,YES,YES,Friends and Family,20,ATM,20,2,YES,<30,Same,0,Yes,yahoo.com
